,Unnamed: 0,City,Candidate (HTML),Status,Reason,Ordre,Libellé de la liste,Code nuance de liste,Numéro de panneau,Code circonscription,Code département,Libellé département,Code commune,Libellé commune,% Voix/exprimés,Libellé de liste,Code commune str,% Voix/exprimés str,population,latitude_centre,longitude_centre,dep_nom,reg_nom,nom_standard,superficie_km2,densite
41,41,Brest,Alexandra Miossec,Found,Match successful.,30.0,La gauche unie pour Brest,LUG,7.0,29019,29.0,Finistère,29019.0,Brest,"23,80%",La gauche unie pour Brest,29019,23.8,139619.0,48.4,-4.503,Finistère,Bretagne,Brest,49.0,2842.0
42,42,Brest,Claude Rannou,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
43,43,Brive-la-Gaillarde,Delphine Mérino,Found,Match successful.,4.0,Brive notre avenir,LDVG,2.0,19031,19.0,Corrèze,19031.0,Brive-la-Gaillarde,"14,06%",Brive notre avenir,19031,14.06,46599.0,45.144,1.519,Corrèze,Nouvelle-Aquitaine,Brive-la-Gaillarde,48.0,962.0
44,44,Brive-la-Gaillarde,Frédéric Lorfanfant,Found,Match successful.,7.0,Brive notre avenir,LDVG,2.0,19031,19.0,Corrèze,19031.0,Brive-la-Gaillarde,"14,06%",Brive notre avenir,19031,14.06,46599.0,45.144,1.519,Corrèze,Nouvelle-Aquitaine,Brive-la-Gaillarde,48.0,962.0
45,45,Bron,Fares Touchene,Found,Match successful.,6.0,BRON EN COMMUN,LUG,1.0,69029,69.0,Rhône,69029.0,Bron,"17,75%",BRON EN COMMUN,69029,17.75,43049.0,45.734,4.912,Rhône,Auvergne-Rhône-Alpes,Bron,10.0,4196.0
46,46,Caen,Clémentine Manca,Found,Match successful.,16.0,CAEN PASSIONNEMENT AVEC ARISTIDE OLIVIER,LDVD,2.0,14118,14.0,Calvados,14118.0,Caen,"48,51%",CAEN PASSIONNEMENT AVEC ARISTIDE OLIVIER,14118,48.51,108200.0,49.185,-0.37,Calvados,Normandie,Caen,26.0,4205.0
47,47,Caen,Marc Lecerf,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
48,48,Cahors,Serge Bathendier,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
49,49,Cahors,Anne-Marie Rey-Golliet,Not Present,"City found, but candidate is missing from the list for this Circonscription.",,,,,0,,,,,,,,,,,,,,,,
50,50,Caluire-et-Cuire,Jacques Tyrol Chary,Found,Match successful.,5.0,NOUVELLE ERE POUR CALUIRE AVEC FABRICE MATTEUCCI,LUG,1.0,69034,69.0,Rhône,69034.0,Caluire-et-Cuire,"27,44%",NOUVELLE ERE POUR CALUIRE AVEC FABRICE MATTEUCCI,69034,27.44,43572.0,45.797,4.851,Rhône,Auvergne-Rhône-Alpes,Caluire-et-Cuire,10.0,4190.0
51,51,Cergy,Karim ZIABAT,Found,Match successful.,11.0,CERGY C'EST NOUS,LUG,1.0,95127,95.0,Val-d'Oise,95127.0,Cergy,"36,79%",CERGY C'EST NOUS,95127,36.79,68348.0,49.04,2.051,Val-d'Oise,Île-de-France,Cergy,15.0,4704.0
52,52,Châlons-en-Champagne,Karima Gautier,Found,Match successful.,6.0,"Pour Châlons, agissons ensemble !",LUG,1.0,51108,51.0,Marne,51108.0,Châlons-en-Champagne,"24,88%","Pour Châlons, agissons ensemble !",51108,24.88,43877.0,48.964,4.379,Marne,Grand Est,Châlons-en-Champagne,26.0,1686.0
53,53,Chambéry,Cristina VIRONE,Found,Match successful.,6.0,Chambéry avance avec Thierry Repentin,LUG,8.0,73065,73.0,Savoie,73065.0,Chambéry,"22,65%",Chambéry avance avec Thierry Repentin,73065,22.65,59856.0,45.583,5.909,Savoie,Auvergne-Rhône-Alpes,Chambéry,21.0,2822.0
54,54,Chambéry,Vincent SZLINGIER,Found,Match successful.,33.0,Chambéry avance avec Thierry Repentin,LUG,8.0,73065,73.0,Savoie,73065.0,Chambéry,"22,65%",Chambéry avance avec Thierry Repentin,73065,22.65,59856.0,45.583,5.909,Savoie,Auvergne-Rhône-Alpes,Chambéry,21.0,2822.0
55,55,Chelles,Éric Pommageot,Found,Match successful.,3.0,POUR L'AVENIR DE CHELLES,LDIV,3.0,77108,77.0,Seine-et-Marne,77108.0,Chelles,"23,79%",POUR L'AVENIR DE CHELLES,77108,23.79,54309.0,48.884,2.597,Seine-et-Marne,Île-de-France,Chelles,16.0,3392.0
56,56,Chelles,Patricia Lavorata,Found,Match successful.,10.0,POUR L'AVENIR DE CHELLES,LDIV,3.0,77108,77.0,Seine-et-Marne,77108.0,Chelles,"23,79%",POUR L'AVENIR DE CHELLES,77108,23.79,54309.0,48.884,2.597,Seine-et-Marne,Île-de-France,Chelles,16.0,3392.0
57,57,Cherbourg-en-Cotentin,Quentin LAGALLARDE,Found,Match successful.,25.0,LA VILLE ENSEMBLE,LUG,1.0,50129,50.0,Manche,50129.0,Cherbourg-en-Cotentin,"41,51%",LA VILLE ENSEMBLE,50129,41.51,77808.0,49.633,-1.634,Manche,Normandie,Cherbourg-en-Cotentin,16.0,4925.0
58,58,Cherbourg-en-Cotentin,Elisabeth Duclos,Found,Match successful.,52.0,LA VILLE ENSEMBLE,LUG,1.0,50129,50.0,Manche,50129.0,Cherbourg-en-Cotentin,"41,51%",LA VILLE ENSEMBLE,50129,41.51,77808.0,49.633,-1.634,Manche,Normandie,Cherbourg-en-Cotentin,16.0,4925.0
59,59,Clermont-Ferrand,Jérôme Auslender,Found,Match successful.,5.0,VIVRE CLERMONT !,LUG,6.0,63113,63.0,Puy-de-Dôme,63113.0,Clermont-Ferrand,"29,99%",VIVRE CLERMONT !,63113,29.99,147327.0,45.786,3.116,Puy-de-Dôme,Auvergne-Rhône-Alpes,Clermont-Ferrand,43.0,3421.0
