Quantity;latitude;Longitude;Date
3080;-61.73;-58.531667;10/01/2013
9665;-63.471667;-59.433333;06/04/2013
35731;-63.891667;-60.43;11/04/2021
23735;-65.575;-59.708333;03/04/2021
24635;-62.696667;-57.47;23/05/2021
10213;-63.283333;-59.186667;26/12/2011
12369;-61.066667;-56.006667;14/12/2018
30669;-63;-58.288333;16/05/2020
24485;-63.14;-59.4;11/04/2013
28187;-63.301667;-59.27;03/06/2022
11985;-61.543056;-58.523333;18/01/2013
3228;-61.631667;-58.521667;13/01/2013
34263;-63.865;-60.286667;13/04/2021
15635;-63.686667;-59.596667;10/05/2021
23857;-63.081667;-58.669444;11/06/2018
6498;-63.811667;-61.38;19/04/2012
12737;-63.343333;-61.038333;08/07/2019
4586;-63.183333;-59.066667;11/05/2014
16642;-63.036667;-58.255;10/05/2020
14152;-62.683333;-62.666667;14/02/2014
55268;-60.416667;-47.51;16/03/2022
21876;-61.516667;-61.466667;28/01/2014
10031;-63.216667;-59.183333;13/04/2013
30872;-62.64;-55.346667;14/04/2022
6862;-61.583333;-61.583333;17/01/2014
17855;-63.65;-59.55;31/03/2013
17764;-63.563333;-60.678056;26/02/2018
46947;-63.678056;-61.119722;02/03/2018
3114;-63.355;-58.963333;30/12/2011
6570;-61.08;-56.046667;20/12/2018
14464;-62.56;-61.033333;08/05/2012
18160;-63.053333;-60.069444;21/06/2019
37712;-63.04;-60.115;19/06/2019
3176;-60.893333;-56.205;10/01/2019
24907;-63.361389;-61.41;02/07/2019
10634;-63.475;-61.7;12/07/2019
16521;-63.466667;-60.216667;03/05/2014
30012;-63.005;-58.186111;16/05/2020
9579;-61.716667;-61.733333;29/01/2014
13875;-63.256667;-59.25;11/04/2013
7348.3;-63.583333;-60.733333;11/05/2013
4828;-61.65;-61.616667;16/01/2014
32238;-63.021667;-57.72;09/06/2022
1076;-61.546667;-58.281667;13/01/2013
15922;-63.683333;-59.788333;10/05/2021
4434;-63.966667;-60.725;28/04/2021
24554;-63.078056;-58.653056;11/06/2018
6368;-62.633333;-61.54;05/05/2012
38121;-63.003333;-60.02;19/06/2019
10525;-62.571667;-61.57;28/05/2012
19138;-62.516667;-62.533333;12/02/2014
27834;-62.6;-55.438333;04/04/2022
27237;-62.77;-54.84;09/04/2022
23068;-62.82;-57.494722;18/05/2021
5354;-63.54;-59.46;09/05/2018
720;-62.913333;-57.58;23/03/2018
9644;-63.578056;-60.491667;03/06/2018
16237;-63.271667;-59.068333;29/12/2011
21615;-61.066667;-55.98;05/01/2019
16766;-63.296667;-59.171667;25/12/2011
9357;-63.128333;-58.843333;02/04/2012
23324;-61.348333;-57.723333;04/01/2021
13958;-63.665;-61.013333;17/03/2020
10370;-62.383333;-62.433333;12/01/2014
30052;-63.625;-60.71;19/05/2022
6962;-61.613333;-58.563333;28/01/2013
31232;-63.04;-58.511389;04/06/2021
34219;-63.588333;-59.458333;12/04/2018
15053;-63.061667;-59.013333;22/12/2011
15637;-63.066667;-59.15;19/05/2019
25360;-63.525;-61.283333;25/06/2019
6210;-62.598333;-59.351667;09/06/2012
33239;-62.97;-58.091667;24/04/2019
22677;-62.856667;-57.475;05/05/2019
28134;-63.444722;-61.375;13/07/2019
27038;-63.35;-59.816667;29/04/2014
26679;-62.616667;-55.62;05/04/2022
23365;-62.673333;-55.311389;16/04/2022
27556;-62.678056;-54.388333;11/04/2022
19289;-63.15;-58.766667;19/03/2014
29304;-62.891667;-57.385;14/05/2021
28503;-62.855;-57.476667;18/05/2021
46559;-62.894722;-57.528056;22/03/2018
966;-63.285;-59.085;29/12/2011
18192;-63.081667;-58.85;18/05/2019
25754;-63.146667;-59.819444;17/06/2019
3742;-61.365;-57.673333;09/01/2019
29004;-63.143333;-58.79;12/05/2019
14869;-63.676667;-60.998333;17/03/2020
22286;-62.64;-55.58;03/04/2022
8187;-62.383333;-62.4;12/01/2014
17806;-63.2;-59.3;04/04/2014
30432;-63.05;-58.881667;04/06/2021
58065;-62.823333;-57.486667;19/05/2021
17750;-63.590278;-59.563333;10/04/2018
27716;-63.94;-60.569444;02/06/2018
21010;-63.275;-59.175;16/05/2018
23734;-61.111389;-56.176667;31/12/2018
15995;-60.758333;-56.211389;07/01/2019
30591;-63.111111;-58.786111;02/04/2012
1651;-62.07;-60.093333;05/06/2019
13534;-61.036667;-55.85;10/01/2019
24196;-63.516667;-61.063333;25/06/2019
26374;-62.843333;-58.731667;15/04/2019
17199;-63.516667;-60.366667;11/05/2014
8695;-63.4;-60.316667;03/05/2014
55997;-60.416667;-47.566667;16/03/2022
30062;-62.591667;-55.418333;07/04/2022
34803;-62.625;-55.268333;14/04/2022
4828;-61.666667;-61.616667;16/01/2014
14609;-63.566667;-59.566667;31/03/2013
